Name,Price,Description,Category,SKU,Tags,Stock_Status
Mankey,£125.00,"When Mankey starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.","Pig Monkey, Pokemon",5180,"mankey, Pig Monkey, Vital Spirit",209 in stock
Primeape,£86.00,"When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.","Pig Monkey, Pokemon",3052,"Pig Monkey, primeape, Vital Spirit",68 in stock
Growlithe,£30.00,"Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won’t forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.","Pokemon, Puppy",1749,"growlithe, Intimidate, Puppy",243 in stock
Arcanine,£69.00,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power.","Legendary, Pokemon",9267,"arcanine, Intimidate, Legendary",14 in stock
Poliwag,£174.00,"Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.","Pokemon, Tadpole",6402,"Damp, poliwag, Tadpole",217 in stock
Poliwhirl,£121.00,"The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle.","Pokemon, Tadpole",4447,"Damp, poliwhirl, Tadpole",139 in stock
Poliwrath,£152.00,"Poliwrath’s highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort.","Pokemon, Tadpole",1848,"Damp, poliwrath, Tadpole",216 in stock
Abra,£141.00,"Abra needs to sleep for eighteen hours a day. If it doesn’t, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping.","Pokemon, Psi",3845,"abra, Inner Focus, Psi",116 in stock
Kadabra,£129.00,"Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pokémon is said to be limited to half the usual amount of its telekinetic powers.","Pokemon, Psi",9040,"Inner Focus, kadabra, Psi",195 in stock
Alakazam,£40.00,"Alakazam’s brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world.","Pokemon, Psi",7975,"alakazam, Inner Focus, Psi",142 in stock
Machop,£166.00,Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.,"Pokemon, Superpower",9506,"Guts, machop, Superpower",173 in stock
Machoke,£27.00,"Machoke undertakes bodybuilding every day even as it helps people with tough, physically demanding labor. On its days off, this Pokémon heads to the fields and mountains to exercise and train.","Pokemon, Superpower",9503,"Guts, machoke, Superpower",10 in stock
Machamp,£121.00,"Machamp is known as the Pokémon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms, the battle is all but over. The hapless foe is thrown far over the horizon.","Pokemon, Superpower",2857,"Guts, machamp, Superpower",242 in stock
Bellsprout,£74.00,"Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.","Flower, Pokemon",7454,"bellsprout, Chlorophyll, Flower",257 in stock
Weepinbell,£26.00,"Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.","Flycatcher, Pokemon",5253,"Chlorophyll, Flycatcher, weepinbell",46 in stock
Victreebel,£68.00,"Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.","Flycatcher, Pokemon",2187,"Chlorophyll, Flycatcher, victreebel",119 in stock
Tentacool,£186.00,Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokémon shoots beams from the small round organ above its eyes.,"Jellyfish, Pokemon",1506,"Clear Body, Jellyfish, tentacool",66 in stock
Tentacruel,£65.00,Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time.,"Jellyfish, Pokemon",1723,"Clear Body, Jellyfish, tentacruel",175 in stock
Geodude,£32.00,"When Geodude sleeps deeply, it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly. In the morning, this Pokémon rolls downhill in search of food.","Pokemon, Rock",1650,"geodude, Rock, Rock Head",77 in stock
Graveler,£182.00,"Rocks are Graveler’s favorite food. This Pokémon will climb a mountain from the base to the summit, crunchingly feasting on rocks all the while. Upon reaching the peak, it rolls back down to the bottom.","Pokemon, Rock",4748,"graveler, Rock, Rock Head",86 in stock
Golem,£103.00,"Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon’s course.","Megaton, Pokemon",1408,"golem, Megaton, Rock Head",151 in stock
Ponyta,£53.00,Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.,"Fire Horse, Pokemon",3629,"Fire Horse, ponyta, Run Away",41 in stock
Rapidash,£98.00,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.","Fire Horse, Pokemon",3414,"Fire Horse, rapidash, Run Away",194 in stock
Slowpoke,£109.00,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge.","Dopey, Pokemon",2145,"Dopey, Oblivious, slowpoke",57 in stock
Slowbro,£179.00,"Slowbro’s tail has a Shellder firmly attached with a bite. As a result, the tail can’t be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.","Hermit Crab, Pokemon",3864,"Hermit Crab, Oblivious, slowbro",289 in stock
Magnemite,£100.00,Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokémon becomes incapable of flight if its internal electrical supply is depleted.,"Magnet, Pokemon",1688,"magnemite, Magnet, Sturdy",16 in stock
Magneton,£191.00,"Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokémon inside a Poké Ball.","Magnet, Pokemon",5934,"Magnet, magneton, Sturdy",152 in stock
Farfetchd,£185.00,"Farfetch’d is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.","Pokemon, Wild Duck",3808,"farfetchd, Keen Eye, Wild Duck",158 in stock
Doduo,£73.00,"Doduo’s two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokémon possessing different sets of brains.","Pokemon, Twin Bird",8303,"doduo, Run Away, Twin Bird",227 in stock
Dodrio,£138.00,"Apparently, the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest.","Pokemon, Triple Bird",4038,"dodrio, Run Away, Triple Bird",118 in stock
Seel,£164.00,"Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.","Pokemon, Sea Lion",2302,"Sea Lion, seel, Thick Fat",250 in stock
Dewgong,£70.00,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,"Pokemon, Sea Lion",9375,"dewgong, Sea Lion, Thick Fat",62 in stock
Grimer,£147.00,Grimer emerged from the sludge that settled on a polluted seabed. This Pokémon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.,"Pokemon, Sludge",3031,"grimer, Sludge, Stench",201 in stock
Muk,£187.00,"This Pokémon’s favorite food is anything that is repugnantly filthy. In dirty towns where people think nothing of throwing away litter on the streets, Muk are certain to gather.","Pokemon, Sludge",9514,"muk, Sludge, Stench",220 in stock
Shellder,£138.00,"At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.","Bivalve, Pokemon",4653,"Bivalve, Shell Armor, shellder",23 in stock
Cloyster,£199.00,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.","Bivalve, Pokemon",5736,"Bivalve, cloyster, Shell Armor",39 in stock
Gastly,£179.00,"Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind.","Gas, Pokemon",6873,"Gas, gastly, Levitate",151 in stock
Haunter,£42.00,"Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away.","Gas, Pokemon",7532,"Gas, haunter, Levitate",181 in stock
Gengar,£149.00,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.","Pokemon, Shadow",6267,"gengar, Levitate, Shadow",159 in stock
Onix,£37.00,"Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.","Pokemon, Rock Snake",2221,"onix, Rock Head, Rock Snake",286 in stock
Drowzee,£40.00,"If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils.","Hypnosis, Pokemon",9437,"drowzee, Hypnosis, Insomnia",253 in stock
Hypno,£198.00,"Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum.","Hypnosis, Pokemon",2634,"hypno, Hypnosis, Insomnia",222 in stock
Krabby,£64.00,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.","Pokemon, River Crab",2333,"krabby, River Crab, Shell Armor",147 in stock
Kingler,£72.00,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires.","Pincer, Pokemon",1454,"kingler, Pincer, Shell Armor",271 in stock
Voltorb,£189.00,Voltorb is extremely sensitive—it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy.,"Ball, Pokemon",9522,"Ball, Static, voltorb",245 in stock
Electrode,£100.00,One of Electrode’s characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.,"Ball, Pokemon",1042,"Ball, electrode, Static",230 in stock
Exeggcute,£126.00,"This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution.","Egg, Pokemon",2494,"Chlorophyll, Egg, exeggcute",144 in stock
Exeggutor,£68.00,"Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.","Coconut, Pokemon",8250,"Chlorophyll, Coconut, exeggutor",292 in stock
Cubone,£177.00,"Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds.","Lonely, Pokemon",3170,"cubone, Lonely, Rock Head",242 in stock
Marowak,£36.00,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon’s tempered and hardened spirit is not easily broken.,"Bone Keeper, Pokemon",8681,"Bone Keeper, marowak, Rock Head",295 in stock
Hitmonlee,£73.00,"Hitmonlee’s legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.","Kicking, Pokemon",6833,"hitmonlee, Kicking, Limber",269 in stock
Hitmonchan,£91.00,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.,"Pokemon, Punching",3499,"hitmonchan, Keen Eye, Punching",163 in stock
Lickitung,£142.00,"Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.","Licking, Pokemon",5903,"Licking, lickitung, Oblivious",291 in stock
Koffing,£38.00,"Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature, the more gas is concocted by this Pokémon.","Poison Gas, Pokemon",3303,"koffing, Levitate, Poison Gas",110 in stock
Weezing,£48.00,"Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed, the more powerful the toxins become. The Pokémon also becomes more putrid.","Poison Gas, Pokemon",8429,"Levitate, Poison Gas, weezing",117 in stock
Rhyhorn,£124.00,"Rhyhorn’s brain is very small. It is so dense, while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something.","Pokemon, Spikes",8574,"rhyhorn, Rock Head, Spikes",138 in stock
Rhydon,£27.00,"Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pokémon occasionally rams into streams of magma, but the armor-like hide prevents it from feeling the heat.","Drill, Pokemon",4900,"Drill, rhydon, Rock Head",73 in stock
Chansey,£176.00,"Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.","Egg, Pokemon",8548,"chansey, Egg, Natural Cure",151 in stock
Tangela,£64.00,"Tangela’s vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.","Pokemon, Vine",3530,"Chlorophyll, tangela, Vine",91 in stock
Kangaskhan,£164.00,"If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pokémon’s parent is sure to be in the area, and it will become violently enraged at you.","Parent, Pokemon",7268,"Early Bird, kangaskhan, Parent",35 in stock
Horsea,£154.00,"If Horsea senses danger, it will reflexively spray a dense black ink from its mouth and try to escape. This Pokémon swims by cleverly flapping the fin on its back.","Dragon, Pokemon",1885,"Dragon, horsea, Swift Swim",88 in stock
Seadra,£51.00,"Seadra generates whirlpools by spinning its body. The whirlpools are strong enough to swallow even fishing boats. This Pokémon weakens prey with these currents, then swallows it whole.","Dragon, Pokemon",2148,"Dragon, Poison Point, seadra",45 in stock
Goldeen,£170.00,"Goldeen loves swimming wild and free in rivers and ponds. If one of these Pokémon is placed in an aquarium, it will shatter even the thickest glass with one ram of its horn and make its escape.","Goldfish, Pokemon",3144,"goldeen, Goldfish, Swift Swim",117 in stock
Seaking,£129.00,Seaking is very protective of its eggs. The male and female will take turns patrolling around their nest and eggs. The guarding of eggs by these Pokémon goes on for over a month.,"Goldfish, Pokemon",9260,"Goldfish, seaking, Swift Swim",226 in stock
Staryu,£166.00,"Staryu apparently communicates with the stars in the night sky by flashing the red core at the center of its body. If parts of its body are torn, this Pokémon simply regenerates the missing pieces and limbs.","Pokemon, Star Shape",7802,"Natural Cure, Star Shape, staryu",292 in stock
Starmie,£176.00,Starmie swims through water by spinning its star-shaped body as if it were a propeller on a ship. The core at the center of this Pokémon’s body glows in seven colors.,"Mysterious, Pokemon",7984,"Mysterious, Natural Cure, starmie",283 in stock
Mr-mime,£144.00,"Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced, the unseeable thing exists as if it were real.","Barrier, Pokemon",9469,"Barrier, mr-mime, Soundproof",105 in stock
Scyther,£85.00,"Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokémon’s scythes are so effective, they can slice through thick logs in one wicked stroke.","Mantis, Pokemon",5181,"Mantis, scyther, Swarm",139 in stock
